Time,Vout
760,0.534
761,0.47
762,0.445
763,0.49
764,0.506
765,0.551
766,0.551
767,0.495
768,0.528
769,0.528
770,0.528
771,0.596
772,0.601
773,0.535
774,0.403
775,0.5
776,0.492
777,0.533
778,0.568
779,0.555
780,0.576
781,0.523
782,0.512
783,0.547
784,0.527
785,0.531
786,0.384
787,0.451
788,0.475
789,0.515
790,0.559
791,0.536
792,0.543
793,0.53
794,0.511
795,0.555
796,0.534
797,0.525
798,0.472
799,0.427
800,0.466
801,0.473
802,0.573
803,0.534
804,0.485
805,0.507
806,0.512
807,0.513
808,0.551
809,0.542
810,0.473
811,0.365
812,0.498
813,0.503
814,0.534
815,0.585
816,0.586
817,0.541
818,0.517
819,0.533
820,0.558
821,0.539
822,0.519
823,0.392
824,0.451
825,0.484
826,0.545
827,0.545
828,0.563
829,0.532
830,0.509
831,0.56
832,0.556
833,0.541
834,0.56
835,0.493
836,0.447
837,0.481
838,0.463
839,0.521
840,0.604
841,0.448
842,0.51
843,0.526
844,0.525
845,0.587
846,0.52
847,0.494
848,0.413
849,0.444
850,0.494
851,0.518
852,0.522
853,0.534
854,0.594
855,0.496
856,0.519
857,0.541
858,0.571
859,0.536
860,0.455
861,0.498
862,0.473
863,0.504
864,0.538
865,0.569
866,0.542
867,0.517
868,0.503
869,0.509
870,0.561
871,0.536
872,0.463
873,0.395
874,0.489
875,0.472
876,0.525
877,0.561
878,0.496
879,0.593
880,0.512
881,0.549
882,0.557
883,0.569
884,0.558
885,0.495
886,0.484
887,0.507
888,0.486
889,0.541
890,0.57
891,0.575
892,0.512
893,0.543
894,0.535
895,0.568
896,0.557
897,0.48
898,0.417
899,0.471
900,0.503
901,0.523
902,0.582
903,0.537
904,0.588
905,0.53
906,0.56
907,0.591
908,0.573
909,0.646
910,0.413
911,0.495
912,0.433
913,0.448
914,0.539
915,0.498
916,0.513
917,0.487
918,0.504
919,0.5
920,0.498
921,0.518
922,0.467
923,0.364
924,0.454
925,0.44
926,0.487
927,0.566
928,0.466
929,0.523
930,0.482
931,0.477
932,0.529
933,0.563
934,0.52
935,0.455
936,0.457
937,0.459
938,0.467
939,0.513
940,0.552
941,0.464
942,0.496
943,0.504
944,0.502
945,0.56
946,0.523
947,0.515
948,0.37
949,0.432
950,0.486
951,0.526
952,0.538
953,0.544
954,0.488
955,0.468
956,0.493
957,0.543
958,0.508
959,0.476
960,0.46
961,0.491
962,0.432
963,0.491
964,0.518
965,0.582
966,0.432
967,0.542
968,0.506
969,0.481
970,0.539
971,0.519
972,0.457
973,0.372
974,0.449
975,0.432
976,0.507
977,0.511
978,0.498
979,0.488
980,0.483
981,0.501
982,0.504
983,0.518
984,0.505
985,0.391
986,0.462
987,0.485
988,0.45
989,0.514
990,0.541
991,0.537
992,0.539
993,0.515
994,0.504
995,0.547
996,0.521
997,0.513
998,0.392
999,0.457
1000,0.435
1001,0.504
1002,0.495
1003,0.516
1004,0.464
1005,0.479
1006,0.493
1007,0.48
1008,0.525
1009,0.54
1010,0.418
1011,0.353
1012,0.449
1013,0.463
1014,0.487
1015,0.486
1016,0.526
1017,0.492
1018,0.476
1019,0.473
1020,0.471
1021,0.473
1022,0.425
1023,0.336
1024,0.394
1025,0.404
1026,0.425
1027,0.444
1028,0.49
1029,0.431
1030,0.473
1031,0.436
1032,0.466
1033,0.449
1034,0.44
1035,0.434
1036,0.336
1037,0.404
1038,0.446
1039,0.447
1040,0.435
1041,0.517
1042,0.474
1043,0.426
1044,0.452
1045,0.515
1046,0.439
1047,0.427
1048,0.347
1049,0.379
1050,0.438
1051,0.453
1052,0.443
1053,0.465
1054,0.512
1055,0.429
1056,0.435
1057,0.451
1058,0.47
1059,0.439
1060,0.413
1061,0.286
1062,0.419
1063,0.402
1064,0.436
1065,0.436
1066,0.463
1067,0.457
1068,0.0
1069,0.456
1070,0.465
1071,0.472
1072,0.449
1073,0.437
1074,0.441
1075,0.393
1076,0.405
1077,0.394
1078,0.432
1079,0.444
1080,0.442
1081,0.432
1082,0.431
1083,0.463
1084,0.461
1085,0.478
1086,0.348
1087,0.326
1088,0.41
1089,0.413
1090,0.463
1091,0.455
1092,0.46
1093,0.448
1094,0.442
1095,0.438
1096,0.451
1097,0.43
1098,0.456
1099,0.359
1100,0.404
1101,0.406
1102,0.446
1103,0.43
1104,0.466
1105,0.424
1106,0.455
1107,0.445
1108,0.476
1109,0.483
1110,0.434
1111,0.397
1112,0.306
1113,0.408
1114,0.415
1115,0.464
1116,0.462
1117,0.368
1118,0.467
1119,0.436
1120,0.443
1121,0.435
1122,0.413
1123,0.409
1124,0.376
1125,0.403
1126,0.426
1127,0.436
1128,0.46
1129,0.476
1130,0.415
1131,0.409
1132,0.434
1133,0.43
1134,0.41
1135,0.383
1136,0.425
1137,0.273
1138,0.364
1139,0.379
1140,0.371
1141,0.401
1142,0.42
1143,0.404
1144,0.382
1145,0.374
1146,0.382
1147,0.369
1148,0.336
1149,0.268
1150,0.321
1151,0.363
1152,0.359
1153,0.388
1154,0.37
1155,0.413
1156,0.409
1157,0.377
1158,0.372
1159,0.357
1160,0.35
1161,0.356
1162,0.267
1163,0.317
1164,0.343
1165,0.368
1166,0.359
1167,0.398
1168,0.431
1169,0.369
1170,0.369
1171,0.37
1172,0.359
1173,0.356
1174,0.308
1175,0.343
1176,0.306
1177,0.367
1178,0.378
1179,0.382
1180,0.424
1181,0.42
1182,0.374
1183,0.386
1184,0.368
1185,0.366
1186,0.338
1187,0.256
1188,0.306
1189,0.351
1190,0.342
1191,0.36
1192,0.385
1193,0.418
1194,0.402
1195,0.388
1196,0.382
1197,0.365
1198,0.329
1199,0.322
1200,0.216
1201,0.354
1202,0.347
1203,0.358
1204,0.386
1205,0.413
1206,0.417
1207,0.4
1208,0.399
1209,0.376
1210,0.376
1211,0.39
1212,0.289
1213,0.371
1214,0.325
1215,0.396
1216,0.387
1217,0.437
1218,0.386
1219,0.362
1220,0.406
1221,0.389
1222,0.362
1223,0.363
1224,0.381
1225,0.253
1226,0.332
1227,0.348
1228,0.359
1229,0.4
1230,0.417
1231,0.385
1232,0.38
1233,0.377
1234,0.388
1235,0.39
1236,0.359
1237,0.248
1238,0.336
1239,0.37
1240,0.34
1241,0.35
1242,0.413
1243,0.468
1244,0.414
1245,0.36
1246,0.377
1247,0.362
1248,0.334
1249,0.383
1250,0.233
1251,0.327
1252,0.313
1253,0.303
1254,0.32
1255,0.326
1256,0.361
1257,0.336
1258,0.323
1259,0.316
1260,0.283
1261,0.271
1262,0.31
1263,0.28
1264,0.268
1265,0.272
1266,0.286
1267,0.261
1268,0.307
1269,0.347
1270,0.284
1271,0.294
1272,0.28
1273,0.265
1274,0.244
1275,0.218
1276,0.255
1277,0.27
1278,0.266
1279,0.266
1280,0.27
1281,0.278
1282,0.319
1283,0.292
1284,0.277
1285,0.262
1286,0.277
1287,0.226
1288,0.18
1289,0.245
1290,0.259
1291,0.265
1292,0.315
1293,0.206
1294,0.362
1295,0.302
1296,0.284
1297,0.27
1298,0.278
1299,0.229
1300,0.18
1301,0.245
1302,0.258
1303,0.291
1304,0.262
1305,0.309
1306,0.378
1307,0.292
1308,0.316
1309,0.28
1310,0.268
1311,0.27
1312,0.204
1313,0.158
1314,0.255
1315,0.26
1316,0.297
1317,0.286
1318,0.32
1319,0.346
1320,0.289
1321,0.29
1322,0.27
1323,0.272
1324,0.289
1325,0.208
1326,0.272
1327,0.288
1328,0.299
1329,0.285
1330,0.281
1331,0.327
1332,0.296
1333,0.287
1334,0.286
1335,0.265
1336,0.264
1337,0.264
1338,0.154
1339,0.282
1340,0.293
1341,0.268
1342,0.27
1343,0.282
1344,0.344
1345,0.298
1346,0.293
1347,0.307
1348,0.28
1349,0.267
1350,0.217
1351,0.233
1352,0.28
1353,0.271
1354,0.286
1355,0.319
1356,0.283
1357,0.365
1358,0.292
1359,0.303
1360,0.309
1361,0.267
1362,0.299
1363,0.228
1364,0.269
1365,0.285
1366,0.277
1367,0.294
1368,0.279
1369,0.359
1370,0.281
1371,0.282
1372,0.264
1373,0.257
1374,0.23
1375,0.173
1376,0.109
1377,0.23
1378,0.211
1379,0.196
1380,0.225
1381,0.215
1382,0.294
1383,0.197
1384,0.23
1385,0.196
1386,0.21
1387,0.157
1388,0.117
1389,0.208
1390,0.176
1391,0.171
1392,0.181
1393,0.166
1394,0.223
1395,0.291
1396,0.195
1397,0.192
1398,0.166
1399,0.156
1400,0.272
1401,0.126
1402,0.167
1403,0.18
1404,0.158
1405,0.184
1406,0.171
1407,0.27
1408,0.199
1409,0.199
1410,0.201
1411,0.172
1412,0.183
1413,0.154
1414,0.052
1415,0.186
1416,0.196
1417,0.179
1418,0.187
1419,0.246
1420,0.299
1421,0.202
1422,0.224
1423,0.201
1424,0.199
1425,0.15
1426,0.136
1427,0.178
1428,0.21
1429,0.2
1430,0.21
1431,0.202
1432,0.251
1433,0.299
1434,0.225
1435,0.221
1436,0.193
1437,0.184
1438,0.173
1439,0.108
1440,0.172
1441,0.197
1442,0.2
1443,0.241
1444,0.248
1445,0.339
1446,0.213
1447,0.199
1448,0.193
1449,0.188
1450,0.154
1451,0.123
1452,0.075
1453,0.177
1454,0.203
1455,0.168
1456,0.204
1457,0.24
1458,0.32
1459,0.229
1460,0.235
1461,0.214
1462,0.221
1463,0.196
1464,0.152
1465,0.228
1466,0.225
1467,0.186
1468,0.171
1469,0.22
1470,0.239
1471,0.286
1472,0.212
1473,0.217
1474,0.243
1475,0.189
1476,0.152
1477,0.135
1478,0.183
1479,0.199
1480,0.191
1481,0.183
1482,0.223
1483,0.198
1484,0.323
1485,0.212
1486,0.203
1487,0.179
1488,0.168
1489,0.203
1490,0.088
1491,0.147
1492,0.186
1493,0.147
1494,0.168
1495,0.159
1496,0.252
1497,0.167
1498,0.176
1499,0.128
1500,0.159
1501,0.1
1502,0.144
1503,0.037
1504,0.098
1505,0.102
1506,0.116
1507,0.123
1508,0.161
1509,0.23
1510,0.13
1511,0.104
1512,0.09
1513,0.084
1514,0.113
1515,0.048
1516,0.119
1517,0.109
1518,0.082
1519,0.093
1520,0.172
1521,0.18
1522,0.215
1523,0.107
1524,0.114
1525,0.084
1526,0.089
1527,0.081
1528,0.016
1529,0.103
1530,0.107
1531,0.094
1532,0.089
1533,0.103
1534,0.213
1535,0.112
1536,0.132
1537,0.089
1538,0.098
1539,0.105
1540,0.09
1541,0.067
1542,0.09
1543,0.079
1544,0.101
1545,0.126
1546,0.148
1547,0.226
1548,0.11
1549,0.117
1550,0.083
1551,0.085
1552,0.108
