Time,Raw Data,Filtered Data,DC Value,Current Period,Average Period,Current Peak Size,Average Peak Size,Status
1000,0.02368742,0.0182074966186177,0.000261185676383858,0,0,0,0,1
1000,0.02246642,0.0186587337962798,0.000279844410180138,0,0,0,0,1
1000,0.01978022,0.0190826364194546,0.000298927046599593,0,0,0,0,1
1000,0.02148962,0.0194724697386105,0.000318399516338203,0,0,0,0,1
1000,0.02539682,0.0198363137674458,0.000338235830105649,0,0,0,0,1
1000,0.02271062,0.0201847603964371,0.000358420590502086,0,0,0,0,1
1000,0.01709402,0.0205070512501461,0.000378927641752232,0,0,0,0,1
1000,0.02148962,0.0207901456248056,0.000399717787377038,0,0,0,0,1
1000,0.03223443,0.0210568371880255,0.000420774624565063,0,0,0,0,1
1000,0.02197802,0.0213301154860342,0.000442104740051097,0,0,0,0,1
1000,0.02271062,0.021594497236452,0.000463699237287549,0,0,0,0,1
1000,0.02148962,0.0218347523772336,0.000485533989664783,0,0,0,0,1
1000,0.02197802,0.0220502307938218,0.000507584220458605,0,0,0,0,1
1000,0.02319902,0.022243704925972,0.000529827925384577,0,0,0,0,1
1000,0.02368742,0.0224213503841728,0.00055224927576875,0,0,0,0,1
1000,0.02222222,0.0225848633216357,0.000574834139090385,0,0,0,0,1
1000,0.02197802,0.0227308516047704,0.000597564990695156,0,0,0,0,1
1000,0.02271062,0.0228585217218585,0.000620423512417014,0,0,0,0,1
1000,0.02319902,0.0229715498917889,0.000643395062308803,0,0,0,0,1
1000,0.02197802,0.023071528349818,0.000666466590658621,0,0,0,0,1
1000,0.02148962,0.0231556788623541,0.000689622269520975,0,0,0,0,1
1000,0.02246642,0.0232233907608693,0.000712845660281845,0,0,0,0,1
1000,0.02295482,0.0232788495162125,0.000736124509798057,0,0,0,0,1
1000,0.02173382,0.0233240891265169,0.000759448598924574,0,0,0,0,1
1000,0.02148962,0.0233567101463635,0.000782805309070937,0,0,0,0,1
1000,0.02148962,0.0233753523006228,0.00080618066137156,0,0,0,0,1
